"","doi","title","authors","author_corresponding","author_corresponding_institution","date","version","license","type","category","abstract","published"
"11","10.1101/177832","GIVE: toward portable genome browsers for personal websites","Cao, X.; Yan, Z.; Wu, Q.; Zheng, A.; Zhong, S.","Sheng Zhong","University of California, San Diego","2018-03-15",4,"3","new results","bioinformatics","Growing popularity and diversity of genomic data demands portable and versatile genome browsers. Here, we present an open source programming library, called GIVE that facilitates creation of personalized genome browsers without requiring a system administrator. By inserting HTML tags, one can add to a personal webpage interactive visualization of multiple types of genomics data, including genome annotation, \""linear\"" quantitative data (wiggle), and genome interaction data. GIVE includes a graphical interface called HUG (HTML Universal Generator) that automatically generates HTML code for displaying user chosen data, which can be copy-pasted into users personal website or saved and shared with collaborators. The simplicity of use was enabled by encapsulation of novel data communication and visualization technologies, including new data structures, a memory management method, and a double layer display method. GIVE is available at: http://www.givengine.org/.","10.1186/s13059-018-1465-6"
"12","10.1101/164715","Resilience of small intestinal beneficial bacteria to the toxicity of soybean oil fatty acids","Di Rienzi, S. C.; Jacobson, J.; Kennedy, E. A.; Bell, M. E.; Shi, Q.; Waters, J. L.; Lawrence, P.; Brenna, J. T.; Britton, R. A.; Walter, J.; Ley, R. E.","Ruth E. Ley","Max Planck Institute for Developmental","2018-03-15",2,"2","new results","microbiology","Over the past century, soybean oil (SBO) consumption in the United States increased dramatically. The main SBO fatty acid, linoleic acid (18:2), inhibits in vitro the growth of lactobacilli, beneficial members of the small intestinal microbiota. Human-associated lactobacilli have declined in prevalence in Western microbiomes, but how dietary changes may have impacted their ecology is unclear. Here, we compared the in vitro and in vivo effects of 18:2 on Lactobacillus reuteri and L. johnsonii. Directed evolution in vitro in both species led to strong 18:2 resistance with mutations in genes for lipid biosynthesis, acid stress, and the cell membrane or wall. Small-intestinal Lactobacillus populations in mice were unaffected by chronic and acute 18:2 exposure, yet harbored both 18:2- sensitive and resistant strains. This work shows that extant small intestinal lactobacilli are protected from toxic dietary components via the gut environment as well as their own capacity to evolve resistance.","10.7554/elife.32581"
"13","10.1101/198846","Backbone Brackets and Arginine Tweezers delineate Class I and Class II aminoacyl tRNA synthetases","Kaiser, F.; Bittrich, S.; Salentin, S.; Leberecht, C.; Haupt, V. J.; Krautwurst, S.; Schroeder, M.; Labudde, D.","Florian Kaiser","University of Applied Sciences Mittweida","2018-03-15",3,"1","new results","bioinformatics","The origin of the machinery that realizes protein biosynthesis in all organisms is still unclear. One key component of this machinery are aminoacyl tRNA synthetases (aaRS), which ligate tRNAs to amino acids while consuming ATP. Sequence analyses revealed that these enzymes can be divided into two complementary classes. Both classes differ significantly on a sequence and structural level, feature different reaction mechanisms, and occur in diverse oligomerization states. The one unifying aspect of both classes is their function of binding ATP. We identified Backbone Brackets and Arginine Tweezers as most compact ATP binding motifs characteristic for each Class. Geometric analysis shows a structural rearrangement of the Backbone Brackets upon ATP binding, indicating a general mechanism of all Class I structures. Regarding the origin of aaRS, the Rodin-Ohno hypothesis states that the peculiar nature of the two aaRS classes is the result of their primordial forms, called Protozymes, being encoded on opposite strands of the same gene. Backbone Brackets and Arginine Tweezers were traced back to the proposed Protozymes and their more efficient successors, the Urzymes. Both structural motifs can be observed as pairs of residues in contemporary structures and it seems that the time of their addition, indicated by their placement in the ancient aaRS, coincides with the evolutionary trace of Proto- and Urzymes.\n\nAuthor summaryAminoacyl tRNA synthetases (aaRS) are primordial enzymes essential for interpretation and transfer of genetic information. Understanding the origin of the peculiarities observed with aaRS can explain what constituted the earliest life forms and how the genetic code was established. The increasing amount of experimentally determined three-dimensional structures of aaRS opens up new avenues for high-throughput analyses of molecular mechanisms. In this study, we present an exhaustive structural analysis of ATP binding motifs. We unveil an oppositional implementation of enzyme substrate binding in each aaRS Class. While Class I binds via interactions mediated by backbone hydrogen bonds, Class II uses a pair of arginine residues to establish salt bridges to its ATP ligand. We show how nature realized the binding of the same ligand species with completely different mechanisms. In addition, we demonstrate that sequence or even structure analysis for conserved residues may miss important functional aspects which can only be revealed by ligand interaction studies. Additionally, the placement of those key residues in the structure supports a popular hypothesis, which states that prototypic aaRS were once coded on complementary strands of the same gene.","10.1371/journal.pcbi.1006101"
"14","10.1101/191825","Natural selection on plasticity of thermal traits in a highly seasonal environment","Bacigalupe, L. D.; Gaitan-Espitia, J. D.; Barria, A. M.; Gonzalez, A.; Ruiz-Aravena, M.; Trinder, M.; Sinervo, B.","Juan Diego Gaitan-Espitia","CSIRO Oceans and Atmosphere, GPO Box 1538, Hobart 7001, TAS, Australia","2018-03-15",4,"4","new results","evolutionary biology","This preprint has been reviewed and recommended by Peer Community In Evolutionary Biology (http://dx.doi.org/10.24072/pci.evolbiol.100048). For ectothermic species with broad geographical distributions, latitudinal/altitudinal variation in environmental temperatures (averages and extremes) are expected to shape the evolution of physiological tolerances and the acclimation capacity (i.e., degree of phenotypic plasticity) of natural populations. This can create geographical gradients of selection in which environments with greater thermal variability (e.g., seasonality) tend to favour individuals that maximize performance across a broader range of temperatures compared to more stable environments. Although thermal acclimation capacity plays a fundamental role in this context, it is unknown whether natural selection targets this trait in natural populations. Here we addressed such an important gap in our knowledge by measuring survival, through mark recapture integrated into an information-theoretic approach, as a function of the plasticity of critical thermal limits for activity, behavioural thermal preference and the thermal sensitivity of metabolism in the northernmost population of the four-eyed frog Pleurodema thaul. Overall, our results indicate that thermal acclimation in this population is not being targeted by directional selection, although there might be signals of selection on individual traits. According to the most supported models, survival decreased in individuals with less tolerance to cold when cold-acclimated (probably because daily low extremes are frequent during the cooler periods of the year) and increased with body size. However, in both cases, the directional selection estimates were non-significant.","10.1111/eva.12702"
"15","10.1101/281824","Arimoclomol as a potential therapy for neuronopathic Gaucher Disease","Kirkegaard, T.; Dardis, A.; Bembi, B.; Fog-Tonnesen, C. K.; Petersen, N. H. T.; Bornaes, C.; Solanko, L. M.; Magnoni, R.; Zago, P.; Malini, E.; Peruzzo, P.","Thomas Kirkegaard","Orphazyme A/S","2018-03-15",1,"4","new results","neuroscience","Gaucher Disease (GD) is caused by mutations of the GBA gene which encodes the lysosomal enzyme acid beta-glucosidase (GCase). GBA mutations commonly affect GCase function by perturbing its protein homeostasis rather than its catalytic activity. Heat shock proteins (HSPs) are well known cytoprotective molecules with numerous functions in protein homeostasis and lysosomal function and their manipulation has been suggested as a potential therapeutic strategy for GD. The investigational drug arimoclomol, which is currently in phase II/III clinical trials, is a well-characterized HSP amplifier and has been extensively clinically tested. Importantly, arimoclomol efficiently crosses the blood-brain-barrier hereby presenting an opportunity to target the neurological manifestations of GD, which remains without a disease modifying therapy.\n\nIn the present study, we found that arimoclomol induced relevant HSPs such as ER-resident HSP70 (BiP) and enhanced the folding, maturation, activity and correct cellular localization of mutated GCase across a number of genotypes including the common L444P and N370S mutations in primary cells from GD patients. These effects where recapitulated in a human neuronal model of GD obtained by differentiation of multipotent adult stem cells. Taken together, these data demonstrate the potential of HSP-targeting therapies in GCase-deficiencies and strongly support the clinical development of arimoclomol as a potential first therapeutic option for the neuronopathic forms of GD.\n\nSummaryThese studies provide proof-of-concept for the development of the Heat shock protein amplifier, arimoclomol, as a potential therapy for neuronopathic Gaucher disease as arimoclomol enhances folding, maturation, activity and correct localization of GCase in neuronopathic and non-neuronopathic Gaucher disease models.","NA"
"16","10.1101/282822","Deactivation and Mislocalization of a kinase protein induced by a single amino acid mutation on the proton transport catalytic aspartic acid","Zhang, Y.","Yang Zhang","Harbin Institute of Technology (Shenzhen)","2018-03-15",1,"4","new results","biochemistry","Rhoptry protein 18 (ROP18) is a major determinant of strain-specific virulence in Toxoplasma gondii. The kinase activity of ROP18 is required for acute virulence, while the aspartate in the catalytic loop of ROP18 is considered essential for phosphoryl transfer. We showed that a single amino acid mutation at the catalytic aspartate residue (D409A mutation) significantly altered ROP18 kinase activity in vitro, and abolished ROP18-mediated ATF6{beta} degradation. Furthermore, the investigated single amino acid mutation in ROP18 led to alternation of subcellular localization of ROP18 protein. Structural modeling analysis suggests that these phenotypes might be associated with D409A mutation induced conformation changes in ROP18.\n\nOur findings demonstrate that a single amino acid mutation on the proton transport catalytic aspartic acid induced conformational alternations in ROP18 resulting in functional changes associated with ROP18 protein.","NA"
"17","10.1101/282277","Evaluating Tumor Evolution via Genomic Profiling of Individual Tumor Spheroids in a Malignant Ascites from a Patient with Ovarian Cancer Using a Laser-aided Cell Isolation Technique","Kim, S.; Kim, S.; Kim, J.; Kim, B.; Kim, S. I.; Kim, M. A.; Kwon, S.; Song, Y. S.","Yong Sang Song","Seoul National University College of Medicine","2018-03-15",1,"15","new results","cancer biology","BackgroundEpithelial ovarian cancer (EOC) is a silent but mostly lethal gynecologic malignancy. Most patients present with malignant ascites and peritoneal seeding at diagnosis. In the present study, we used a laser-aided isolation technique to investigate the clonal relationship between the primary tumor and tumor spheroids found in the malignant ascites of an EOC patient. Somatic alteration profiles of ovarian cancer-related genes were determined for eight spatially separated samples from primary ovarian tumor tissues and ten tumor spheroids from the malignant ascites using next-generation sequencing.\n\nResultsWe observed high levels of intra-tumor heterogeneity (ITH) in copy number alterations (CNAs) and single-nucleotide variants (SNVs) in the primary tumor and the tumor spheroids. As a result, we discovered that tumor cells in the primary tissues and the ascites were genetically different lineages. We categorized the CNAs and SNVs into clonal and subclonal alterations according to their distribution among the samples. Also, we identified focal amplifications and deletions in the analyzed samples. For SNVs, a total of 171 somatic mutations were observed, among which 66 were clonal mutations present in both the primary tumor and the ascites, and 61 and 44 of the SNVs were subclonal mutations present in only the primary tumor or the ascites, respectively.\n\nConclusionsBased on the somatic alteration profiles, we constructed phylogenetic trees and inferred the evolutionary history of tumor cells in the patient. The phylogenetic trees constructed using the CNAs and SNVs showed that two branches of the tumor cells diverged early from an ancestral tumor clone during an early metastasis step in the peritoneal cavity. Our data support the monophyletic spread of tumor spheroids in malignant ascites.","NA"
"18","10.1101/282681","Reversible inhibition of specific transcription factor-DNA interactions using CRISPR","Shariati, A.; Dominguez, A.; Wernig, M.; Qi, S.; Skotheim, J.","Jan Skotheim","Stanford University","2018-03-15",1,"4","new results","molecular biology","The control of gene expression by transcription factor binding sites frequently determines phenotype. However, it has been difficult to assay the function of single transcription factor binding sites within larger transcription networks. Here, we developed such a method by using deactivated Cas9 to disrupt binding to specific sites on the genome. Since CRISPR guide RNAs are longer than transcription factor binding sites, flanking sequence can be used to target specific sites. Targeting deactivated Cas9 to a specific Oct4 binding site in the Nanog promoter blocked Oct4 binding, reduced Nanog expression, and slowed division. Multiple guide RNAs allows simultaneous inhibition of multiple binding sites and conditionally-destabilized dCas9 allows rapid reversibility. The method is a novel high-throughput approach to systematically interrogate cis-regulatory function within complex regulatory networks.","10.1016/j.molcel.2019.04.011"
"19","10.1101/282954","Putative rapid-acting antidepressant nitrous oxide (""laughing gas"") evokes rebound emergence of slow EEG oscillations during which TrkB signaling is induced","Kohtala, S.; Theilmann, W.; Rosenholm, M.; Kiuru, P.; Uusitalo, S.; Järventausta, K.; Yli-Hankala, A.; Yli-Kauhaluoma, J.; Wigren, H.-K.; Rantamäki, T.","Tomi Rantamäki","University of Helsinki","2018-03-15",1,"4","new results","pharmacology and toxicology","Electroconvulsive therapy (ECT) remains among the most efficient antidepressants but it seldom brings immediate remedy. However, a subanesthetic dose of NMDA-R (N-methyl-D-aspartate receptor) blocker ketamine ameliorates symptoms of depression already within hours. Glutamatergic excitability and regulation of TrkB neurotrophin receptor and GSK3{beta} (glycogen synthase kinase 3{beta}) signaling are considered as molecular-level determinants for ketamines antidepressant effects. Recent clinical observations suggests that nitrous oxide (N2O, \""laughing gas\""), another NMDA-R blocking dissociative anesthestic, also produces rapid antidepressant effects but the underlying mechanisms remain essentially unstudied. In this animal study we show that N2O, with a clinically relevant dosing regimen, evokes an emergence of rebound slow EEG (electroencephalogram) oscillations, a phenomenon considered to predict the efficacy and onset-of-action ECT. Very similar rebound slow oscillations are induced by subanesthetic ketamine and flurothyl (a treatment analogous to ECT). These responses become best evident upon drug withdrawal, i.e. after the peak of acute pharmacological actions, when their most prominent effects on cortical excitability have subsided. Most importantly, TrkB and GSK3{beta} signaling remain unchanged during N2O administration (ongoing NMDA-R blockade) but emerge gradually upon gas withdrawal along with increased slow EEG oscillations. Collectively these findings reveal that rapid-acting antidepressants produce cortical excitability that triggers \""a brain state\"" dominated by ongoing slow oscillations, sedation and drowsiness during which TrkB and GSK3{beta} signaling alterations are induced.","NA"
"20","10.1101/282897","TOG domain MT polymerases accelerate MT plus end growth via electrostatically-steered diffusion-to-capture and electrostatic templating of GTP-tubulin","Venables, N.; Bretschneider, T.; Cross, R. A.","Robert Anthony Cross","Warwick Medical School","2018-03-15",1,"3","new results","biophysics","TOG domain microtubule polymerases track microtubule plus ends, bind GTP-tubulin and catalyse microtubule growth, by mechanisms that are not yet understood. In this work, we use computational analysis and simulation to probe the detailed mechanism of tubulin capture and exchange by TOG domains. TOG domains display a ridge of 5 surface loops that form the core of the TOG-tubulin interface. Using computational mutagenesis, we confirm that this row of loops, which is positively charged, plays a dominant role in setting the overall electrostatic field on the TOG domain. Brownian dynamics simulations establish that diffusion-to-capture of TOGs by tubulin is very strongly electrostatically steered. Under a range of conditions and in all trajectories examined, TOGs are initially captured and oriented by tubulin at high radius so that their basic loops faced inwards towards the tubulin. Thereafter, the loops continue to face inwards towards the tubulin and to scan its surface until stereospecific docking the crystallographic binding site occurs. We find that the acidic C-terminal tails of tubulin are not required for electrostatic steering, but instead serve to widen the acceptance angles for electrostatically steered diffusion-to-capture. All-atom normal mode analysis indicates that TOGs are remarkably stiff, enabling them to drive free GTP-tubulin into a partially-curved state by conformational selection. Electrostatic free energy calculations show that the complex that each TOG makes with its cognate tubulin is stable. Our work argues that TOGs accelerate microtubule plus end growth by two complementary electrostatic mechanisms, first by electrostatically steered diffusion-to-capture, and second by electrostatic stabilisation of a partially bent conformation of GTP-tubulin that exchanges rapidly into the tip-lattice. To explain this rapid exchange, we propose a model in which simultaneous binding of the GTP-tubulin to the TOG and the microtubule tip-lattice can occur and is required to de-stabilise the crystallographic complex and release and recycle the TOG.\n\nAuthor SummaryTOG domain microtubule polymerases are protein machines that accelerate the growth of microtubule plus ends by capturing tubulin building blocks from solution and feeding them into the growing microtubule tip. Exactly how TOGs manage to do this remains unclear. Several lines of evidence suggest that electrostatic interactions play a key role, but the detailed role of electrostatics in the polymerase mechanism of TOGs is so far little explored. Here using linked computational approaches we analyse the electrostatic fields of TOGs from the TOG polymerase superfamily and simulate their tubulin binding trajectories. We find that each TOG domain has a shaped electrostatic field that is precisely matched to its tubulin binding partner, such that each TOG is electrostatically orientated at high radius and thereafter electrostatically guided to its capture site. Our work shows that electrostatic steering dramatically accelerates the diffusion-to-capture of tubulin by TOGs. The resulting TOG-tubulin complexes are electrostatically stabilized and we suggest that release of the TOG from this complex requires that tubulin first be incorporated into the growing microtubule, thereby being driven into a TOG-incompatible conformation.","NA"
