"","doi","title","authors","author_corresponding","author_corresponding_institution","date","version","license","type","category","abstract","published"
"11","10.1101/2020.04.15.042101","Autotransporters drive biofilm formation and auto-aggregation in the diderm Firmicute Veillonella parvula","Bechon, N.; Jimenez-Fernandez, A.; Witwinowski, J.; Bierque, E.; Taib, N.; Cokelaer, T.; Ma, L.; Ghigo, J.-M.; Gribaldo, S.; Beloin, C.","Christophe Beloin","Institut Pasteur Paris","2020-04-16",1,"cc_no","new results","microbiology","The Negativicutes are a clade of Firmicutes that have retained the ancestral diderm character and possess an outer membrane. One of the best studied Negativicute, Veillonella parvula, is an anaerobic commensal and opportunistic pathogen inhabiting complex human microbial communities, including the gut and the dental plaque microbiota. Whereas adhesion and biofilm capacity of V. parvula is expected to be crucial for its maintenance and development in these environments, studies of V. parvula adhesion have been hindered by the lack of efficient genetic tools to perform functional analyses in this bacterium. Here, we took advantage of a recently described naturally transformable V. parvula isolate, SKV38, and adapted tools developed for the closely related Clostridia spp. to perform random transposon and targeted mutagenesis to identify V. parvula genes involved in biofilm formation. We show that type V secreted autotransporters -typically found in diderm bacteria-are the main determinants of V. parvula auto-aggregation and biofilm formation, which compete with each other for binding either to cells or to surfaces, with strong consequences on V. parvula biofilm formation capacity. We also show that inactivation of the gene coding for a poorly characterized metal-dependent phosphohydrolase HD domain protein conserved in the Firmicutes and their closely related diderm phyla inhibits autotransporter-mediated biofilm formation. This study paves the way for further molecular characterization of V. parvula interactions with other bacteria and the host within complex microbiota environments.","NA"
"12","10.1101/2020.04.15.043257","VIBRIO CHOLERAE ADAPTS TO SESSILE AND MOTILE LIFESTYLES BY CYCLIC DI-GMP REGULATION OF CELL SHAPE","Fernandez, N. L.; Nhu, N. T.; Hsueh, B. Y.; Franklin, J. L.; Dufour, Y. S.; Waters, C. M.","Christopher M. Waters","Michigan State University","2020-04-16",1,"cc_no","new results","microbiology","The cell morphology of rod-shaped bacteria is determined by the rigid net of peptidoglycan forming the cell wall. While V. cholerae grows into a curved shape under most conditions, straight rods have been observed. However, the signals and regulatory pathways controlling cell shape transitions in V. cholerae and the benefits of switching between rod and curved shape have not been determined. We demonstrate that cell shape in V. cholerae is regulated by the bacterial second messenger cyclic dimeric guanosine monophosphate (c-di-GMP) by repressing expression of crvA, a gene encoding an intermediate filament-like protein necessary for curvature formation in V. cholerae. This regulation is mediated by the transcriptional cascade that also induces production of biofilm matrix components, indicating that cell shape is coregulated with V. choleraes induction of sessility. Wild-type V. cholerae cells adhering to a surface lose their characteristic curved shape to become as straight as cells lacking crvA while genetically engineering cells to maintain high curvature reduced microcolony formation and biofilm density. Conversely, straight V. cholerae mutants have reduced speed when swimming using flagellar motility in liquid. Our results demonstrate regulation of cell shape in bacteria is a mechanism to increase fitness in planktonic or biofilm lifestyles.","NA"
"13","10.1101/2020.04.14.042051","Genetic characterization of Streptococcus pyogenes emm 89 strains isolated in Japan from 2011 to 2019","Hirose, Y.; Yamaguchi, M.; Takemoto, N.; Miyoshi-Akiyama, T.; Sumitomo, T.; Nakata, M.; Ikebe, T.; Hanada, T.; Yamaguchi, T.; Kawahara, R.; Okuno, R.; Otsuka, H.; Matsumoto, Y.; Terashima, Y.; Kazawa, Y.; Nakanishi, N.; Uchida, K.; Akiyama, Y.; Iwabuchi, K.; Nakagawa, C.; Yamamoto, K.; Kawabata, S.","Yujiro Hirose","Osaka University Graduate School of Dentistry","2020-04-16",1,"cc_no","new results","microbiology","Streptococcal toxic shock syndrome (STSS) caused by Streptococcus pyogenes emm89 strains has been increasing in several countries and reported to be linked with a recently emerged clade of emm89 strains, designated clade 3. In Japan, epidemiological and genetic information for emm89 strains remains elusive. In this study, we utilized emm89 strains isolated from both STSS (89 isolates) and non-STSS (72 isolates) infections in Japan from 2011 to 2019, and conducted whole-genome sequencing and comparative analysis, which resulted in classification of a large majority into clade 3 regardless of disease severity. In addition, STSS-associated genes and SNPs were found in clade 3 strains, including mutations of streptokinase (Ska), control of virulence sensor (CovS), serum opacity factor (SOF), sortase (SrtB), and fibronectin-binding protein F1 (PrtF1), and absence of the hylP1 gene encoding hyaluronidase. These findings provide insights into notable genetic features of emm89 strains.","NA"
"14","10.1101/2020.01.07.897413","Sharp wave-ripples in human amygdala and their coordination with hippocampus during NREM sleep","Cox, R.; Ruber, T.; Staresina, B.; Fell, J.","Roy Cox","University of Bonn","2020-04-16",2,"cc_by","new results","neuroscience","Cooperative interactions between the amygdala and hippocampus are widely regarded as critical for overnight emotional processing of waking experiences, but direct support from the human brain for such a dialog is absent. Using intracranial recordings in four pre-surgical epilepsy patients (two male, two female), we discovered ripples within human amygdala during non-rapid eye movement (NREM) sleep. Like hippocampal ripples, amygdala ripples are strongly associated with sharp waves, are linked to sleep spindles, and tend to co-occur with their hippocampal counterparts. Moreover, sharp waves and ripples are temporally linked across the two brain structures, with amygdala ripples occurring during hippocampal sharp waves and vice versa. Combined with further evidence of interregional sharp wave and spindle synchronization, these findings offer a potential physiological substrate for the NREM-sleep-dependent consolidation and regulation of emotional experiences.","NA"
"15","10.1101/2020.04.15.042689","Investigating the origin and consequences of endogenous default options in repeated economic choices.","Couto, J.; van Maanen, L.; Lebreton, M.","Joaquina Couto","Universiteit van Amsterdam","2020-04-16",1,"cc_by","new results","neuroscience","Classical value-based decision theories state that economic choices are solely based on the value of available options. Experimental evidence suggests, however, that individuals'; choices are biased towards default options, prompted by the framing of decisions. Although the effects of default options created by exogenous framing - such as how choice options are displayed - are well-documented, little is known about the potential effects and properties of endogenous framing, that is, originating from an individual's internal state. In this study, we investigated the existence and properties of endogenous default options in a task involving choices between risky lotteries. By manipulating and examining the effects of three experimental features - time pressure, time spent on task and relative choice proportion towards a specific option -, we reveal and dissociate two features of endogenous default options which bias individuals' choices: a natural tendency to prefer certain types of options (natural default), and the tendency to implicitly learn a default option from past choices (learned default). Additional analyses suggest that while the natural default may bias the standard choice process towards an option category, the learned default effects may be attributable to a second independent choice process. Overall, these investigations provide a first experimental evidence of how individuals build and apply diverse endogenous default options in economic decision-making and how this biases their choices.","NA"
"16","10.1101/2020.04.15.040618","Designing a multi-epitope peptide-based vaccine against SARS-CoV-2","Singh, A.; Thakur, M.; Sharma, L. K.; Chandra, K.","Mukesh Thakur","Zoological Survey of India, Kolkata","2020-04-16",1,"cc_no","new results","bioinformatics","COVID-19 pandemic has resulted so far 14,395,16 confirmed cases with 85,711 deaths from the 212 countries, or territories. Due to multifacet issues and challenges in implementation of the safety & preventive measures, inconsistent coordination between societies-governments and most importanly lack of specific vaccine to SARS-CoV-2, the spread of Wuhan originated virus is still uprising after taking a heavy toll on human life. In the present study, we mapped several immunogenic epitopes (B-cell, T-cell, and IFN-gamma) over the entire structural proteins of SARS-CoV-2 and by applying various computational and immunoinformatics approaches, we designed a multi-epitope peptide based vaccine that predicted high immunogenic response in the largest proportion of worlds human population. To ensure high expression of the recombinant vaccine in E. coli, codon optimization and in-silico cloning were also carried out. The designed vaccine with high molecular affinity to TLR3 and TLR4, was found capable to initiate effective innate and adaptive immune response. The immune simulation also suggested uprising high levels of both B-cell and T-cell mediated immunity which on subsequent exposure cleared antigen from the system. The proposed vaccine found promising by yielding desired results and hence, should be tested by practical experimentations for its functioning and efficacy to neutralize SARS-CoV-2.","NA"
"17","10.1101/2020.03.09.984260","Evolutionary variation in MADS-box dimerization affects floral development and protein degradation dynamics in maize","Abraham-Juarez, M. J.; Schrager-Lavelle, A.; Man, J.; Whipple, C. J.; Handakumbura, P.; Babbitt, C. C.; Bartlett, M.","Madelaine Bartlett","University of Massachusetts, Amherst","2020-04-16",2,"cc_by_nc_nd","new results","plant biology","Shifting interactions between MADS-box transcription factors may have been critical in the emergence of the flower, and in floral diversification. However, how evolutionary variation in MADS-box interactions affects the development and evolution of floral form remains unknown. Interactions between B-class MADS-box proteins are variable across the grass family. Here, we test the functional consequences of this evolutionary variability using maize as an experimental system. We found that differential B-class dimerization was associated with subtle, quantitative differences in stamen shape. In contrast, differential dimerization resulted in large-scale changes to protein complex composition and downstream gene expression. Differential dimerization also affected B-class complex abundance, independent of RNA levels. Thus, differential dimerization may affect protein stability. This reveals an important consequence for evolutionary variability in MADS-box interactions, adding complexity to the evolution of developmental gene networks. Our results show that floral development is robust to molecular change, even coding change in a master regulator of development. This robustness may contribute to the evolvability of floral form.","NA"
"18","10.1101/653048","A compositional shape code explains how we read jumbled words","Agrawal, A.; Hari, K. V. S.; Arun, S. P.","S P Arun","Indian Institute of Science","2020-04-16",2,"cc_by_nc_nd","new results","neuroscience","We read words and even jubmled wrods effortlessly, but the neural representations underlying this remarkable ability remain unknown. We hypothesized that word processing is driven by a visual representation that is compositional i.e. with string responses systematically related to letters. To test this hypothesis, we devised a model in which neurons tuned to letter shape respond to longer strings by linearly summing letter responses. This letter model explained human performance in both visual search as well as word reading tasks. Brain imaging revealed that viewing a string activates this compositional letter code in the lateral occipital (LO) region, and that subsequent comparisons to known words are computed by the visual word form area (VWFA). Thus, seeing a word activates a compositional letter code that enables efficient reading.","NA"
"19","10.1101/2020.04.08.031146","Mortality and coexistence time both cause changes in predator-prey co-evolutionary dynamics","Scheuerl, T.; Kaitala, V.","Thomas Scheuerl","University of Innsbruck","2020-04-16",2,"cc_by_nc_nd","new results","evolutionary biology","All organisms are sensitive to the abiotic environment, and in multispecies communities a deteriorating environment increasing mortality and limiting coexistence time can cause ecological changes. When interaction within the community is changed this can impact co-evolutionary processes. Here we use a mathematical model to predict ecological and evolutionary changes in a simple predator-prey community under different mortality rates and times of coexistence, both controlled by various transfer volume and transfer interval. In the simulated bacteria-ciliate system, we find species densities to be surprisingly robust under changed mortality rates and times both species coexist, resulting in stable densities. Confirming a theoretical prediction however, the evolution of anti-predator defence in the bacteria and evolution of predation efficiency in ciliates relax under high mortalities and limited times both partners interact. In contrast, evolutionary trajectories intensify when global mortalities are low, and the predator-prey community has more time for close interaction. These results provide testable hypotheses for future studies of predator-prey systems and we hope this work will help to bridge the gap in our knowledge how ecological and evolutionary process together shape composition of microbial communities.","NA"
"20","10.1101/708693","HD-tDCS over mIPS causally modulates online reach correction","Goettker, A.; Caie, B.; Jeyachandra, J.; Xu, S.; Gallivan, J.; Dmochowski, J.; Fiehler, K.; Blohm, G.","Alexander Goettker","Justus Liebig University Giessen, Germany","2020-04-16",2,"cc_by_nc_nd","new results","neuroscience","Brain lesion and stimulation studies have suggested posterior parietal cortex and the medial intraparietal sulcus in particular as a crucial hub for online movement error corrections. However, causal evidence for this is still sparse. Indeed, lesion studies are potentially confounded by compensatory reorganization mechanisms while brain stimulation studies have produced heterogeneous results when employing transcranial magnetic stimulation. Here we designed a new complementary paradigm using fMRI-guided high-definition transcranial direct current stimulation (HD-tDCS) of the left medial intraparietal sulcus (mIPS) together with regression-based mediation analysis to re-examine the causal role of mIPS in online reach corrections to jumping targets. We obtained two independent measures of stimulation-induced changes in brain activity by modeling current flow in the brain and through EEG recordings before and after HD-tDCS stimulation. Third, to quantify behavioral effects of HD-tDCS we computed movement curvature as a measure of online correction. We demonstrate that both of our measurements of brain activity were consistent with a polarity-specific modulation of the online correction for targets jumping to the contralateral side of the stimulation. Importantly, using a mediation analysis of the relationship between stimulation current and movement curvature suggests that the induced current modifies brain activity, which then leads to the observed behavioral changes. This unique combination of methods and analysis thus provides complementary evidence for the crucial role of the posterior parietal cortex in online error correction, while at the same time setting a new methodological standard with respect to the causal influence of transcranial direct current stimulation.

New & NoteworthyTranscranial direct current stimulation (tDCS) is an interesting and potentially useful tool for asking causal scientific questions and design clinical treatments. With our unique combination of highly accurate fMRI guided stimulation, current forward modeling, EEG recordings before and after the stimulation and behavioral changes we could unravel the causal structure of tDCS. Our approach naturally deals with the variability of tDCS results, increasing its potential usefulness as a tool for research and clinical applications.","NA"
"21","10.1101/799015","Smoothened receptor Signaling regulates the developmental shift of GABA polarity in rat somatosensory cortex","Delmotte, Q.; Medina, I.; Hamze, M.; Buhler, E.; Zhang, J.; Belgacem, Y. H.; Porcher, C.","Christophe Porcher","Aix-Marseille University","2020-04-16",2,"cc_no","new results","neuroscience","Sonic Hedgehog (Shh) and its patched-smoothened receptor complex control a variety of functions in the developing central nervous system (CNS) such as neural cell proliferation and differentiation. Recently, Shh signaling components have been found to be expressed at the synaptic level in the postnatal brain, suggesting a potential role in the regulation of synaptic transmission. Using in utero electroporation of constitutively active and dominant-negative forms of the Shh co-receptor smoothened (Smo), we studied the role of Smo signaling in the development and maturation of GABAergic transmission in the somatosensory cortex. Our results show that enhancing Smo activity during development accelerates the shift from depolarizing to hyperpolarizing GABA in dependence on functional expression of potassium-chloride cotransporter type 2 (KCC2). On the other hand, blocking Smo activity maintains GABA response in a depolarizing state in mature cortical neurons resulting in altered chloride homeostasis and increased seizure susceptibility. This study reveals an unexpected function of Smo signaling on the regulation of chloride homeostasis through the control of KCC2 cell surface stability and on the timing of the GABA inhibitory/excitatory shift in brain maturation.

Summary statementThe smoothened receptor controls the time course of inhibitory transmission through the stability of the potassium-chloride cotransporter type 2 at the plasma membrane.","NA"
"22","10.1101/2020.04.14.040469","Screening for inborn errors of metabolism using untargeted metabolomics and out-of-batch controls","Bongaerts, M.; Bonte, R.; Demirdas, S.; Jacobs, E.; Oussoren, E.; van der Ploeg, A.; Wagenmakers, M.; Hofstra, R.; Blom, H.; Reinders, M.; Ruijter, G.","Michiel Bongaerts","Erasmus Medical Centre","2020-04-16",2,"cc_by_nc_nd","new results","bioinformatics","MotivationUntargeted metabolomics is an emerging technology in the laboratory diagnosis of inborn errors of metabolism (IEM). In order to judge if metabolite levels are abnormal, analysis of a large number of reference samples is crucial to correct for variations in metabolite concentrations resulting from factors such as diet, age and gender. However, a large number of controls requires the use of out-of-batch controls, which is hampered by the semi-quantitative nature of untargeted metabolomics data, i.e. technical variations between batches. Methods to merge and accurately normalize data from multiple batches are urgently needed.

Methods & resultsBased on six metrics, we compared existing normalization methods on their ability to reduce batch effects from eight independently processed batches. Many of those showed marginal performances, which motivated us to develop Metchalizer, a normalization method which uses 17 stable isotope-labeled internal standards and a mixed effect model. In addition, we propose a regression model with age- and sex as covariates fitted on control samples obtained from all eight batches. Metchalizer applied on log-transformed data showed the most promising performance on batch effect removal as well as in the detection of 178 known biomarkers across 45 IEM patient samples and performed at least similar to an approach using 15 within-batch controls. Furthermore, our regression model indicates that 10-24% of the considered features showed significant age-dependent variations.

ConclusionsOur comprehensive comparison of normalization methods showed that our Log-Metchalizer approach enables the use out-of-batch controls to establish clinically-relevant reference values for metabolite concentrations. These findings opens possibilities to use large scale out-of-batch control samples in a clinical setting, increasing throughput and detection accuracy.

AvailabilityMetchalizer is available at https://github.com/mbongaerts/Metchalizer/","NA"
"23","10.1101/2020.04.15.043307","TANGO1 membrane helices create a lipid diffusion barrier at curved membranes","Raote, I.; Ernst, A. M.; Campelo, F.; Rothman, J. E.; Pincet, F.; Malhotra, V.","Vivek Malhotra","The Barcelona Institute of Science and Technology","2020-04-16",1,"cc_by","new results","cell biology","We have previously shown TANGO1 organises membranes at the interface of the endoplasmic reticulum (ER) and ERGIC/Golgi (Raote et al., 2018). TANGO1 corrals retrograde membranes at ER exit sites to create an export conduit. Here the retrograde membrane is, in itself, an anterograde carrier. This mode of forward transport necessitates a mechanism to prevent membrane mixing between ER and the retrograde membrane. TANGO1 has an unusual membrane helix organisation, composed of one membrane-spanning helix (TM) and another that penetrates the inner leaflet (IM). We have reconstituted these membrane helices in model membranes and shown that TM and IM together reduce the flow of lipids at a region of defined shape. We have also shown that the helices align TANGO1 around an ER exit site. We suggest this is a mechanism to prevent membrane mixing during TANGO1-mediated transfer of bulky secretory cargos from the ER to the ERGIC/Golgi via a tunnel.","NA"
